N,CODIGO,PRODUCTO,DESCRIPCION ,PESO-KG,MARCA ,BD,PRECIO NORMAL,PRECIO OFERTA,DESCUENTO,CATEGORIA
1,56078,SISTEMA DE NIVELACIÓN TORNADO,BOLSA 50 UND,0.55,F3C,#¡REF!," $14,460 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
2,52795,CUÑA PARA PORCELANATO,BOLSA 100UND,0.75,TORREWS,#¡REF!," $6,990 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
3,52796,"NIVELADOR PARA PORCELANATO 1,5MM",BOLSA 100UND,0.26,TORREWS,#¡REF!," $4,590 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
4,52797,TENAZA PARA SISTEMA DE NIVELACIÓN ,PARA SISTEMAS DE NIVELACIÓN DE CERÁMICA Y PORCELANATO,0.41,TORREWS,#¡REF!," $11,990 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
5,50970,ESPACIADOR 1MM 200 UND,BOLSA 200UND ,0.05,F3C,#¡REF!," $1,490 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
6,50972,ESPACIADOR 2MM 200 UND,BOLSA 200UND ,0.1,F3C,#¡REF!," $1,490 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
7,50973,ESPACIADOR 3MM 200 UND,BOLSA 200UND ,0.1,F3C,#¡REF!," $1,490 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
8,50958,ESPACIADOR 4MM 200 UND,BOLSA 200UND ,0.1,F3C,#¡REF!," $1,490 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
9,50976,ESPACIADOR 5MM 200 UND,BOLSA 200UND ,0.1,F3C,#¡REF!," $1,490 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
10,58539,ESPACIADOR 2MM 1000 UND,BOLSA 1000UND,0.35,F3C,#¡REF!," $7,990 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
11,58973,ESPACIADOR 3MM 1000 UND,BOLSA 1000UND,0.35,F3C,#¡REF!," $7,990 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
12,57911,SISTEMA DE NIVELACION TOR RAPID,BOLSA 50 UND,0.42,TORREWS,#¡REF!," $12,370 "," $9,990 ",19%,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
13,50910,LLANA DENTADA 13X13MM,MEDIDA 10X23CM ,0.2,F3C,#¡REF!," $2,190 ",,,LLANAS
14,60127,NIVELADOR PARA CERÁMICA 3MM,BOLSA 100UND,0.2,F3C,#¡REF!," $3,990 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
15,50909,LLANA DENTADA 10X6MM,MEDIDA 10X23CM ,0.2,F3C,#¡REF!," $2,190 ",,,LLANAS
16,51124,LLANA DENTADA 8X8MM,MEDIDA 13X28CM,0.35,TORREWS,#¡REF!," $4,990 ",,,LLANAS
17,51125,LLANA DENTADA 10X10MM,MEDIDA 13X28CM,0.35,TORREWS,#¡REF!," $4,990 ",,,LLANAS
18,50906,FRAGUADOR ESPUMA,MEDIDA 24X10CM,0.15,F3C,#¡REF!," $3,090 ",,,FRAGUADORES
19,50905,FRAGUADOR PROFESIONAL,MEDIDA 23X10CM,0.3,F3C,#¡REF!,#¡REF!,,,FRAGUADORES
20,50989,REMOVEDOR DE FRAGÜE,PARA REMOVER FRAGÜE,0.15,F3C,#¡REF!," $3,590 ",,,FRAGUADORES
21,50907,ESPONJA PROFESIONAL,MEDIDA 19X14CM,0.5,F3C,#¡REF!," $3,190 ",,,ESPONJAS
22,54577,ESPONJA MICROFIBRA,MEDIDA 19X14CM,0.5,F3C,#¡REF!," $3,990 ",,,ESPONJAS
23,50969,ESPONJA TEXTURADA,MEDIDA 19X14CM,0.5,F3C,#¡REF!," $3,460 ",,,ESPONJAS
24,51014,BALDE CONCRETERO 12 LITROS,12 LITROS,0.55,F3C,#¡REF!," $4,670 "," $3,490 ",25%,HERRAMIENTAS COMPLEMENTARIAS
25,60128,CUÑA PARA CERÁMICA,BOLSA 100UND,0.35,F3C,#¡REF!," $4,290 ",,,ESPACIADORES Y SISTEMAS DE NIVELACIÓN PARA CERAMICA Y PORCELANATO
26,50987,RODILLERAS PROFESIONALES ,BOLSA 2UND,0.35,F3C,#¡REF!," $9,190 ",,,HERRAMIENTAS COMPLEMENTARIAS
27,51128,MAZO DE GOMA 12OZ,12OZ,0.36,F3C,#¡REF!," $3,590 ",,,MAZOS
28,53218,CORTADORA F500-A 50CM,CORTE MAX 50CM,2.96,F3C,#¡REF!," $24,990 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
29,52545,CORTADORA TOR 600,CORTE MAX 60CM,5.73,TORREWS,#¡REF!," $56,724 "," $35,990 ",57%,CORTADORAS DE CERÁMICA Y PORCELANATO
30,56223,CORTADORA TOR 600SM,CORTE MAX 60CM,5.21,TORREWS,#¡REF!," $59,990 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
31,56225,CORTADORA TOR 600CMR,CORTE MAX 60CM,7.67,TORREWS,#¡REF!," $72,990 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
32,52910,CORTADORA TOR 1000-A,CORTE MAX 100CM - 1METRO,16,TORREWS,#¡REF!," $129,653 "," $79,990 ",49%,CORTADORAS DE CERÁMICA Y PORCELANATO
33,60211,CORTADORA TOR RAPID 1200,"CORTE MAX 120CM - 1,20 METRO",20.77,TORREWS,#¡REF!," $299,900 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
